name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
MS-06RD-4 Zaku High Mobility Test Type,gundam_zaku_ii_rd4,,Zeonic,ammofeed,,800,135,750,,80,0,,185,200,200,110,195,78,PHASE,gundam_elite_evasion_system,,,,0.15,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-06FZ Zaku II Kai,gundam_zaku_ii_fz,,Zeonic,ammofeed,,1000,160,750,,75,0,,200,220,220,120,210,75,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-06F-2 Zaku II F2 Type,gundam_zaku_ii_f2,,Zeonic,ammofeed,,800,160,750,,75,0,,160,180,180,100,180,70,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-09R Rick Dom,gundam_rick_dom,,Zimmad,,,900,150,800,,80,0,,160,180,180,100,180,79,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-09R Rick Dom (Thunderbolt Sector),gundam_rick_dom_thunderbolt,,Zimmad,,,900,150,800,,80,0,,200,220,220,140,220,79,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-09R-2 Rick Dom II,gundam_rick_dom_ii,,Zimmad,,,1100,170,850,,85,0,,180,200,200,120,200,80,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-09F/trop Dom Tropen,gundam_dom_tropen,,Zimmad,,,1050,170,900,,85,0,,170,190,190,115,190,79,PHASE,gundam_evasion_system,,,,0.2,0.13,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-14A Gelgoog,gundam_gelgoog,,Zeonic,gundam_shield_system,,900,140,800,,80,0,,180,200,200,120,200,73,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-14A Gelgoog (Thunderbolt Sector),gundam_gelgoog_thunderbolt,,Zeonic,gundam_shield_system,,900,140,800,,80,0,,220,240,240,160,240,73,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-14Jg Gelgoog Jager,gundam_gelgoog_j,,Zeonic,ammofeed,,1100,160,850,,85,0,,185,230,230,150,210,73,PHASE,gundam_evasion_system,,,,0.25,0.15,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-21C Dra-C,gundam_dra_c,,Zeonic,ammofeed,,900,150,700,,85,0,,210,230,230,180,230,49,FRONT,,270,0.5,0.5,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-18E Kampfer,gundam_kampfer,,Zeonic,ammofeed,,1200,170,900,,85,0,,200,225,225,160,215,78,PHASE,gundam_evasion_system,,,,0.25,0.15,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MS-07B Gouf,gundam_gouf,"
",Zeonic,gundam_shield_system,,1000,150,750,,75,0,,180,200,180,120,180,75,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,
YMS-15 Gyan,gundam_gyan,"
",Zimmad,gundam_shield_system,,1300,200,1500,,150,0,,180,220,200,120,180,67,OMNI,,35,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,
AGX-04 Gerbera Tetra,gundam_gerbera_tetra,,Zeonic,ammofeed,,1300,180,1000,,100,0,,250,250,250,200,230,73,PHASE,gundam_elite_evasion_system,,,,0.25,0.15,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,103
MSM-10 Zock,gundam_zock,,Zeonic,highenergyfocus,,1700,200,2000,,200,0,,140,180,150,90,180,232,FRONT,,360,0.4,0.6,,,1,1,,,,,,,,,,,1,1,RENDER_ENGINES_BELOW_HULL,,,0.7,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-06S Char's Zaku II,gundam_zaku_ii_char_pilot,Custom Commander-use Mobile Suit,Zeonic,gundam_red_overcloak_system,7,1750,135,750,3000,80,25,,300,250,230,140,210,74,PHASE,phasecloak,,,,0.15,0.13,1,1,0,20,1,20,10,10000,7,20,180,0.25,3,3,RENDER_ENGINES_BELOW_HULL,"zeon_ms_0_bp,rare_bp",0,0.7,2,4,,103
MS-06R Zaku II High Mobility Type,gundam_zaku_ii_psycho_pilot,Prototype High Mobility Space Mobile Suit,Zeonic,gundam_red_overcloak_system,9,1750,135,750,3000,80,25,,320,270,250,160,230,74,PHASE,phasecloak,,,,0.15,0.13,1,1,0,20,1,20,10,10000,7,20,180,0.25,6,6,RENDER_ENGINES_BELOW_HULL,"zeon_ms_0_bp,rare_bp",0,0.7,2,4,,103
EMS-10 Zudah,gundam_zudah_pilot,Prototype General-Purpose Mobile Suit,Zimmad,gundam_elite_blue_speed,7,1400,135,750,3000,90,25,,300,250,230,140,210,61,PHASE,phasecloak,,,,0.15,0.13,1,1,0,20,1,20,10,8500,7,20,180,0.25,3,3,RENDER_ENGINES_BELOW_HULL,"zeon_ms_0_bp,rare_bp",0,0.7,2,4,,103
MS-14S Char's Gelgoog,gundam_gelgoog_char_pilot,Limited Production Commander-use General-Purpose Mobile Suit,Zeonic,gundam_red_overcloak_system,8,1800,145,850,3500,95,25,,320,270,250,160,230,73,OMNI,,35,0.4,0.6,,,1,1,0,20,1,20,10,8500,7,20,180,0.25,4,4,RENDER_ENGINES_BELOW_HULL,"zeon_ms_0_bp,rare_bp",0,0.7,2,4,,103
MSN-02 Zeong,gundam_zeong_pilot,Prototype Newtype-use Space Mobile Suit,ZEON,gundam_zeong_drone_system,10,2500,200,2000,5000,200,35,,150,200,180,100,160,232,PHASE,phasecloak,,,,0.2,0.13,1,1,0,30,1,15,8,35000,7,20,180,0.25,7,7,RENDER_ENGINES_BELOW_HULL,"zeon_ms_1_bp,rare_bp",0,0.7,2,4,,103
Zeong Hands,gundam_zeong_drone,,ZEON,,,300,50,200,,20,0,,400,300,300,300,300,5,PHASE,phasecloak,,,,0.05,0.05,1,1,,,,,,,,,,,1,1,,,,0.7,2,4,,52203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gundam_shield_module,,,,,500,150,500,,50,0,,0,0,0,10,10,3,FRONT,,35,0.4,0.6,,,0,0,0,0,1,0,0,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0,1,1,,
,gundam_shield,,,,,500,150,500,,50,0,,500,500,500,500,500,3,FRONT,,35,0.5,0.6,,,0,0,,,,,,,,,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Side Station EFSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Station EFSF,gundam_station_core_t1_efsf,Side Station,Gundam - UC,,100,40000,1600,1000,,100,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2002.1
Side Battlestation EFSF,gundam_station_core_t2_efsf,Side Battlestation,Gundam - UC,,200,80000,2000,1000,,100,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2003.5
Side Fortress EFSF,gundam_station_core_t3_efsf,Side Fortress,Gundam - UC,,400,160000,2400,1000,,100,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2004
# Compartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gundam_module_solar,Solar Module,Gundam - UC,,1,10000,800,0,,0,0,,0,0,0,10,10,3500,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
,gundam_module_lightattack_efsf,Light Attack Module,Gundam - UC,,1,10000,950,10000,,1200,1000,,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
,gundam_module_smalldefense_efsf,Small Defense Module,Gundam - UC,,1,8000,1000,8000,,600,1000,1,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_module_attack_efsf,Attack Module,Gundam - UC,gundam_guntank_drone_system,1,12000,1100,18000,,1500,1000,2,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
,gundam_module_balance_efsf,Balance Module,Gundam - UC,gundam_guntank_drone_system,1,15000,1350,16000,,1000,1000,3,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_module_fighter_efsf,Fighter Support Module,Gundam - UC,gundam_guntank_drone_system,1,15000,1000,14000,,1000,1000,4,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Side Station ZEON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Station ZEON,gundam_station_core_t1_zeon,Side Station,Gundam - UC,,100,35000,1600,1000,,100,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2002.1
Side Battlestation ZEON,gundam_station_core_t2_zeon,Side Battlestation,Gundam - UC,,200,70000,2000,1000,,100,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2003.5
Side Fortress ZEON,gundam_station_core_t3_zeon,Side Fortress,Gundam - UC,,400,150000,2400,1000,,100,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2004
# Compartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gundam_module_smalldefense_zeon,Small Defense Module,Gundam - UC,,1,9000,1000,8000,,600,1000,1,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_module_attack_zeon,Attack Module,Gundam - UC,gundam_zaku_ii_drone_system,1,13000,1100,18000,,1500,1000,2,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
,gundam_module_balance_zeon,Balance Module,Gundam - UC,gundam_zaku_ii_drone_system,1,16000,1350,16000,,1000,1000,3,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_module_fighter_zeon,Fighter Support Module,Gundam - UC,gundam_zaku_ii_drone_system,1,16000,1000,14000,,1000,1000,4,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# A Baoa Qu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Baoa Qu Fortress,gundam_abq_station_core,Space Fortress,Gundam - UC,,400,160000,2400,10000,,1000,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2004
,gundam_abq_module_shield,Shield Module,Gundam - UC,fortressshield,400,1000,100,20000,,1500,1000,,30,200,200,4,2,5000,OMNI,,360,0.5,1,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2004
,gundam_abq_module_east,East Module,Gundam - UC,gundam_zaku_ii_drone_system,1,16000,1000,14000,,1200,1000,5,0,0,0,10,10,3500,FRONT,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_abq_module_north,North Module,Gundam - UC,gundam_zaku_ii_drone_system,1,16000,1350,16000,,1200,1000,3,0,0,0,10,10,3500,FRONT,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_abq_module_south,South Module,Gundam - UC,gundam_zaku_ii_drone_system,1,16000,1350,16000,,1200,1000,3,0,0,0,10,10,3500,FRONT,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_abq_module_west,West Module,Gundam - UC,gundam_zaku_ii_drone_system,1,13000,1100,18000,,2000,1000,,0,0,0,10,10,3500,FRONT,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Solomon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Fortress,gundam_solomon_station_core,Space Fortress,Gundam - UC,,400,160000,2400,1000,,100,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2004
,gundam_solomon_module_east,East Module,Gundam - UC,gundam_zaku_ii_drone_system,1,17000,1100,15000,,1200,1000,5,0,0,0,10,10,3500,FRONT,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_solomon_module_north,North Module,Gundam - UC,gundam_zaku_ii_drone_system,1,18000,1450,17000,,1200,1000,3,0,0,0,10,10,3500,FRONT,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_solomon_module_south,South Module,Gundam - UC,gundam_zaku_ii_drone_system,1,18000,1450,18000,,1200,1000,3,0,0,0,10,10,3500,FRONT,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_solomon_module_west,West Module,Gundam - UC,gundam_zaku_ii_drone_system,1,15000,1200,20000,,2000,1000,,0,0,0,10,10,3500,FRONT,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Luna II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luna II,gundam_luna_ii_station_core,Space Fortress,Gundam - UC,,400,160000,2400,1000,,100,1000,3,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2004
,gundam_luna_ii_module_east,East Module,Gundam - UC,gundam_guntank_drone_system,1,17000,1100,15000,,1200,1000,5,0,0,0,10,10,3500,FRONT,,270,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_luna_ii_module_north,North Module,Gundam - UC,gundam_guntank_drone_system,1,18000,1450,17000,,1200,1000,3,0,0,0,10,10,3500,FRONT,,120,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_luna_ii_module_south,South Module,Gundam - UC,gundam_guntank_drone_system,1,18000,1450,18000,,1200,1000,3,0,0,0,10,10,3500,FRONT,,120,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,gundam_luna_ii_module_west,West Module,Gundam - UC,gundam_guntank_drone_system,1,15000,1200,20000,,2000,1000,,0,0,0,10,10,3500,FRONT,,270,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
