name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SUPER CAPITALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roria Esvernia(SP),uaf_ai_roria_esvernia,Elite Battleship,Advanced Auroran Tech,uaf_royalBurn,80,25250,2600,25250,15000,1595,340,2,30,20,40,5,4,5000,OMNI,,120,0.45,0.6,,,450,700,200,500,13,50,6,2525252,2.5,20,1080,0.25,75,75,HIDE_IN_CODEX,"uaf_elite_bp, no_bp_drop, restricted, no_drop_salvage, no_dealer",,0.5,1,2,503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solvernia (YRN),uaf_supercap_slv_core,Flagship,Advanced Auroran Tech,uaf_supercap_royaljets,200,22000,3750,45000,31250,1500,305,2,50,5,10,3,3,6000,OMNI,,120,0.5,1.7,,,2500,4500,1500,1500,35,60,5,100000090,2,10,1080,0.45,150,150,"HIDE_IN_CODEX, SHIP_WITH_MODULES","uaf_elite_bp, no_bp_drop, restricted, no_drop_salvage, no_dealer",5,0.3,3,5,505
,uaf_supercap_slv_fore_left,Port Defense Section,Advanced Auroran Tech,uaf_rangeFinder,0,14500,2000,10800,15000,590,65,,0,0,0,0,0,5000,FRONT,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,uaf_supercap_slv_fore_right,Starboard Defense Section,Advanced Auroran Tech,uaf_rangeFinder,0,14500,2000,10800,15000,590,65,,0,0,0,0,0,5000,FRONT,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,uaf_supercap_slv_engine_left,Port Engine Section,Advanced Auroran Tech,uaf_mini_drone_pd,0,19950,1000,10800,28000,450,60,,0,0,0,0,0,5000,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,uaf_supercap_slv_engine_right,Starboard Engine Section,Advanced Auroran Tech,uaf_mini_drone_pd,0,19950,1000,10800,28000,450,60,,0,0,0,0,0,5000,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Section (SLV),uaf_xl_reflecta_left,Armor Section,Experimental Auroran Tech,,0,2000,6000,200,15000,200,0,,0,0,0,0,0,500,NONE,,,,,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
Armor Section (SLV),uaf_xl_reflecta_right,Armor Section,Experimental Auroran Tech,,0,2000,6000,200,15000,200,0,,0,0,0,0,0,500,NONE,,,,,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novaeria,uaf_novaeria,Elite Exploration Dreadnought,Advanced Auroran Tech,targetingfeed,200,36500,2000,30000,31250,1500,350,2,35,10,10,3,3,5000,OMNI,,80,0.45,1,,,1715,4000,2750,3315,20,60,7,100000090,3,20,1080,0.45,160,160,"HIDE_IN_CODEX, SHIP_WITH_MODULES","uaf_elite_bp, restricted, no_drop, no_drop_salvage, no_dealer",5,0.3,3,5,505
,uaf_novaeria_right_hangar,Starboard Hangar Section,Advanced Auroran Tech,recalldevice,0,16000,1000,10000,23000,1250,230,5,0,0,0,0,0,5000,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,uaf_novaeria_left_hangar,Port Hangar Section,Advanced Auroran Tech,recalldevice,0,16000,1000,10000,23000,1250,230,5,0,0,0,0,0,5000,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,uaf_novaeria_right_fore,Starboard Defense Section,Advanced Auroran Tech,uaf_rangeFinder,0,18600,1500,24000,30000,1500,150,,0,0,0,0,0,5000,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,uaf_novaeria_left_fore,Port Defense Section,Advanced Auroran Tech,uaf_rangeFinder,0,18600,1500,24000,30000,1500,150,,0,0,0,0,0,5000,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,uaf_novaeria_engine,Engine Section,Advanced Auroran Tech,uaf_mini_drone_pd,0,19950,850,25000,28000,1400,90,,0,0,0,0,0,5000,NONE,,0,0.1,1,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Vanguard,uaf_cherry_core,XXL-Hyper Freighter,Advanced Auroran Tech,uaf_burnDrive,100,20000,2250,22500,31250,1800,325,2,35,10,5,8,5,8000,OMNI,,60,0.4,1.2,,,150,1000,35100,3700,25,60,6,85000000,12,25,1080,0.45,120,150,"SHIP_WITH_MODULES,HIDE_IN_CODEX, CIVILIAN, FREIGHTER","uaf_elite_bp, restricted, no_drop, no_drop_salvage, no_dealer",5,0.3,3,5,505
,uaf_cherry_center,Center Connector Section,Advanced Auroran Tech,,0,14500,2000,20000,15000,1600,200,,0,0,0,0,0,5000,FRONT,,5,0.1,1.2,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,uaf_cherry_port_left,Port Cargo Section,Advanced Auroran Tech,,0,14500,2000,20000,15000,1600,200,,0,0,0,0,0,6500,FRONT,,90,0.1,1.2,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,uaf_cherry_port_right,Starboard Cargo Section,Advanced Auroran Tech,,0,14500,2000,20000,15000,1600,200,,0,0,0,0,0,6500,FRONT,,90,0.1,1.2,,,0,0,0,0,1,0,,75000,,1,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,4,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield Missile Deployed,uaf_shield_generator,Shield,Auroran Tech,,1,100,10,1000,1,5,0,,0,0,0,0,0,0,FRONT,,90,0.1,1,,,0,0,0,0,1,0,,0,,1,840,0.25,0,0,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX",,,1,2,4,506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FIGHTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aria,uaf_wing_aria,Strike Fighter,Auroran Tech,,,490,100,400,,100,0,,200,200,150,180,250,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,105
Super Aria,uaf_wing_superaria,Heavy Fighter,Auroran Tech,,,600,90,700,,150,0,,240,200,200,250,275,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,105
Hyper Aria(YM),uaf_wing_hyperaria_custom,Experimental Fighter,Experimental Auroran Tech,uaf_royalJets,10,850,120,700,,150,0,,300,200,200,250,275,55,NONE,uaf_fighterflare,0,0,0,,,2,2,,,,,,,,,,,,,,"restricted, no_drop, no_drop_salvage, no_dealer",,0,,,105
Naga(mFA),uaf_wing_naga,Advanced Attacker,Advanced Auroran Tech,uaf_fighterflare,,750,100,1000,,200,0,,250,230,200,250,300,100,FRONT,,35,0.6,2,,,2,2,,,,,,,,,,,,,,,,0,,,105
Lumayan(mFA),uaf_wing_lumayan,Multirole Attacker,Advanced Auroran Tech,uaf_fighterflare,,655,90,800,,145,0,,230,200,200,250,300,100,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exoscar,uaf_wing_exoscar,Strike Torpedo Bomber,Auroran Tech,uaf_fighterflare,,450,125,500,,100,0,,315,210,210,100,80,65,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,109
Fisoyuz,uaf_wing_fisoyuz,Light Attacker,Auroran Tech,,,250,40,400,,100,0,,310,200,150,230,300,55,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,106
Minersky,uaf_wing_minersky,Medium Attacker,Auroran Tech,,,440,95,1500,,300,0,,300,200,250,250,250,45,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,107
Mitsurei,uaf_wing_mitsurei,Light Interceptor,Auroran Tech,,,250,50,400,,100,0,,325,230,210,300,300,55,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,108
Sakurai,uaf_wing_sakurai,Medium Bomber,Auroran Tech,,,300,300,600,,100,0,,100,100,100,45,60,65,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,0,,,105
Hibiscus,uaf_wing_hibiscus,Light Bomber,Auroran Tech,,,200,200,400,,100,0,,125,150,150,80,120,50,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynx (P),uaf_wing_lynx,Multi-Role Fighter,Experimental Auroran Tech,uaf_melodyOvercharge,5,1500,125,1000,,250,120,1,230,400,400,200,200,100,PHASE,phasecloak,180,0,0,,,1,1,5,15,1,25,11,,,,,,,,SHIP_WITH_MODULES,"restricted, no_drop, no_drop_salvage, no_dealer",,0,,,110
Forlorn,uaf_wing_forlorn,Superiority Fighter,Auroran Tech,uaf_fighterflare,,750,250,200,,300,0,,275,250,250,300,360,85,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,110
Noversky,uaf_wing_noversky,Heavy Attacker,Auroran Tech,uaf_fighterflare,,500,350,400,,500,0,,195,130,100,250,200,100,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,0,,,107
Hyacinth,uaf_wing_hyacinth,Heavy Bomber,Auroran Tech,uaf_fighterflare,,720,650,1200,,50,0,,100,100,60,50,100,150,FRONT,,120,0.6,1.5,,,8,8,,,,,,,,,,,,,,,,0,,,105
Nekonyan,uaf_wing_nekoyan,Stealth Strike Fighter,Advanced Auroran Tech,uaf_royalJets,,500,100,500,,250,0,,230,400,200,300,150,75,NONE,uaf_fighterflare,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,108
Menascar,uaf_wing_menascar,Surgical Bomber,Auroran Tech,uaf_fighterflare,,720,225,850,,200,0,,305,300,150,100,100,200,NONE,,0,0,0,,,6,6,,,,,,,,,,,,,,,,0,,,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pengawas (GS),uaf_wing_pengawas,Air Defense Gunship,Advanced Auroran Tech,ammofeed,,650,230,1500,,500,0,,245,150,150,150,100,200,NONE,,0,0,0,,,6,6,,,,,,,,,,,,,,,,0,,,109
Neoscar (GS),uaf_wing_neoscar,Anti Ship Gunship,Advanced Auroran Tech,uaf_fighterflare,,730,350,2000,,700,0,,275,300,170,150,100,200,NONE,,0,0,0,,,10,10,,,,,,,,,,,,,,,,0,,,109
Puterisaya (AGS),uaf_wing_puterisaya,Hunter Killer Gunship,Advanced Auroran Tech,uaf_flarelauncher,,950,150,2000,,450,0,,225,150,170,250,100,200,OMNI,,75,0.2,0.6,,,10,10,,,,,,,,,,,,,,,3,0,,,109
Puterakamu (SPHGS),uaf_wing_puterakamu,Spearhead Horizon Gunship,Advanced Auroran Tech,uaf_concord_sys,,1050,150,2000,,450,0,,215,150,120,200,100,200,OMNI,,75,0.2,0.7,,,10,10,,,,,,,,,,,,,,,3,0,,,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revere,uaf_wing_revere,Horizon Interceptor,Auroran Tech,,,450,80,200,,200,0,,250,180,150,200,150,85,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,109
Surreal,uaf_wing_surreal,Heavy Horizon Interceptor,Auroran Tech,,,600,60,300,,200,0,,285,250,150,100,110,95,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,109
Minime,uaf_wing_minime,Defense Drone,Auroran Tech,,,300,50,400,,100,0,,325,230,210,300,300,55,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taufan (NX),uaf_wing_taufan,Tactical Strike Fighter,Advanced Auroran Tech,uaf_fighterflare,,800,350,1300,,250,0,,230,400,200,300,150,75,FRONT,,35,0,1.5,,,2,2,,,,,,,,,,,,,,,,0,,,108
Rafflesya (SvHB),uaf_wing_rafflesya,Strategic Bomber,Experimental Auroran Tech,uaf_mini_drone_pd,,2250,1150,1200,,350,0,,110,60,100,65,100,800,NONE,uaf_flarelauncher,0,0,0,,,40,40,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","restricted, no_drop, no_drop_salvage, no_dealer",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
