name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,,,
Oggo Missile,gundam_oggo_missile,5,0,,1000,,80,,5,40,,6,,,HIGH_EXPLOSIVE,0,,0,4,2,0.5,0,0,0,0,,300,150,5,50,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Big Zam Leg,gundam_big_zam_leftleg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Big Zam Leg,gundam_big_zam_rightleg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Bigro Left Hand,gundam_bigro_lefthand,5,0,,350,,350,200,,100,,,,,KINETIC,80,,0,2,,,,,,,,1000,,,,0.25,,"SYSTEM, ANTI_FTR, USE_VS_FRIGATES","energy8, no_sell, no_drop, no_drop_salvage",,,,Suppression,,,,,,,,,,,,,
Bigro Right Hand,gundam_bigro_righthand,5,0,,350,,350,200,,100,,,,,KINETIC,80,,0,2,,,,,,,,1000,,,,0.25,,"SYSTEM, ANTI_FTR, USE_VS_FRIGATES","energy8, no_sell, no_drop, no_drop_salvage",,,,Suppression,,,,,,,,,,,,,
Val Walo Left Hand,gundam_val_walo_lefthand,5,0,,25,,350,200,,100,,1,0.5,,ENERGY,80,,0.5,0.5,,,,,,,,2000,,,,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","energy8, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Val Walo Right Hand,gundam_val_walo_righthand,5,0,,25,,350,200,,100,,1,0.5,,ENERGY,80,,0.5,0.5,,,,,,,,2000,,,,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Wired Mega Particle Gun,gundam_braw_bro_bit,5,0,,1000,150,,100,0,20,,,,,ENERGY,,100,0.1,0.1,,,,,,,2400,,,,,,,"SYSTEM, PD","energy20, beam15, LR, hist1t, merc, no_sell, no_drop, no_drop_salvage",,,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,,,,
Elmeth Cannon,gundam_elmeth_cannon,5,0,,850,,250,70,1,5,,1,0.2,,HIGH_EXPLOSIVE,220,,0,3,1,,,,,,,1000,,,300,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","kinetic9, LR, remnant, hist1t, merc, no_sell, no_drop, no_drop_salvage",,,,Anti Shield,,,,,,,,,,,,,
Elmeth Bits,gundam_elmeth_bit_gun,5,0,,750,,100,100,0,40,,,,,ENERGY,35,,0,1.5,,,,,,,,1000,,,,,,"SYSTEM, PD","energy8, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Neue Ziel Left Hand,gundam_neue_ziel_lefthand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Neue Ziel Right Hand,gundam_neue_ziel_righthand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Neue Ziel Leg,gundam_neue_ziel_leftleg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Neue Ziel Leg,gundam_neue_ziel_rightleg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Dom Bazooka,gundam_rick_dom_bazooka,5,0,,550,,400,100,30,10,,5,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Torpedo,,,,,,,,,,,,,
Rick Dom Hand,gundam_rick_dom_hand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Rick Dom Head,gundam_rick_dom_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Rick Dom Leg,gundam_rick_dom_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Rick Dom II Bazooka,gundam_rick_dom_ii_bazooka,5,0,,550,,500,150,50,10,,5,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Torpedo,,,,,,,,,,,,,
Rick Dom II Gun,gundam_rick_dom_ii_gun,5,0,,600,,50,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Rick Dom II Hand,gundam_rick_dom_ii_hand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Rick Dom II Head,gundam_rick_dom_ii_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Rick Dom II Leg,gundam_rick_dom_ii_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Rick Dom II Wing,gundam_rick_dom_ii_wing,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Dom Tropen Bazooka,gundam_dom_tropen_bazooka,5,0,,550,,500,150,50,10,,5,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Torpedo,,,,,,,,,,,,,
Dom Tropen Hand,gundam_dom_tropen_hand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Dom Tropen Head,gundam_dom_tropen_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Dom Tropen Leg,gundam_dom_tropen_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku I Gun,gundam_zaku_i_gun,5,0,,600,,40,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zaku I Leg,gundam_zaku_i_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku I Head,gundam_zaku_i_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku I Hand,gundam_zaku_i_hand,5,0,,300,,400,100,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,200,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zaku II Bazooka,gundam_zaku_ii_bazooka,5,0,,550,,300,50,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Torpedo,,,,,,,,,,,,,
Zaku II Gun,gundam_zaku_ii_gun,5,0,,600,,40,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zaku II Rifle,gundam_zaku_ii_rifle,5,0,,1100,,180,400,5,5,,6,0.8,6,KINETIC,200,,0,3,1,,0,10,5,10,,1000,1000,1,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","he18, no_sell, no_drop, no_drop_salvage",,,,Anti Armor,,,,,,,,,,37,,,
Zaku II Leg,gundam_zaku_ii_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II Head,gundam_zaku_ii_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II Hand,gundam_zaku_ii_hand,5,0,,300,,400,100,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,200,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zaku II Shield,gundam_zaku_ii_shield,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II HM Gun,gundam_zaku_ii_hm_gun,5,0,,600,,45,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zaku II HM Bazooka,gundam_zaku_ii_hm_bazooka,5,0,,550,,300,50,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Torpedo,,,,,,,,,,,,,
Zaku II HM Leg,gundam_zaku_ii_hm_leg,5,0,,1000,,150,,5,40,,3,,,HIGH_EXPLOSIVE,,,0,5,1,3,0,0,5,0,,300,150,3,50,,,"BOMB, STRIKE, USE_VS_FRIGATES","utility8, missile0, gundam_missile_bp",,,,Suppression,Fast,Excellent,,,,,,,,41,,,
Zaku II HM Head,gundam_zaku_ii_hm_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II HM Hand,gundam_zaku_ii_hm_hand,5,0,,300,,400,100,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,200,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zaku II RD-4 Gun,gundam_zaku_ii_rd4_gun,5,0,,600,,45,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zaku II RD-4 Leg,gundam_zaku_ii_rd4_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II RD-4 Head,gundam_zaku_ii_rd4_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II RD-4 Hand,gundam_zaku_ii_rd4_hand,5,0,,300,,400,100,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,200,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zaku II Kai Gun,gundam_zaku_ii_fz_gun,5,0,,600,,50,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zaku II Kai Leg,gundam_zaku_ii_fz_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II Kai Head,gundam_zaku_ii_fz_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II Kai Hand,gundam_zaku_ii_fz_hand,5,0,,100,,100,50,30,10,,8,,,HIGH_EXPLOSIVE,0,,0,0,8,0.007,0,0,0,0,,150,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zaku II F2 Gun,gundam_zaku_ii_f2_gun,5,0,,600,,40,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zaku II F2 Leg,gundam_zaku_ii_f2_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II F2 Head,gundam_zaku_ii_f2_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II F2 Hand,gundam_zaku_ii_f2_hand,5,0,,300,,400,100,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,200,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zudah Gun,gundam_zudah_gun,5,0,,600,,50,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zudah Leg,gundam_zudah_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zudah Head,gundam_zudah_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zudah Hand,gundam_zudah_hand,5,0,,1000,,150,,5,40,,6,,,HIGH_EXPLOSIVE,,,0,5,1,3,0,0,5,0,,300,250,5,50,,,"BOMB, STRIKE, USE_VS_FRIGATES","utility8, missile0, gundam_missile_bp",,,,Suppression,Fast,Excellent,,,,,,,,41,,,
Zaku II Char Gun,gundam_zaku_ii_char_gun,5,0,,600,,50,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zaku II Char Gun,gundam_zaku_ii_char_bazooka,5,0,,550,,400,100,30,10,,5,0.2,,HIGH_EXPLOSIVE,0,,0,2,1,,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Torpedo,,,,,,,,,,,,,
Zaku II Char Gun,gundam_zaku_ii_char_rifle,5,0,,1100,,200,400,5,5,,6,0.8,6,KINETIC,200,,0,3,1,,0,10,5,10,,1000,1000,1,1000,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, ANTI_FTR","he18, no_sell, no_drop, no_drop_salvage",,,,Anti Armor,,,,,,,,,,37,,,
Zaku II Char Leg,gundam_zaku_ii_char_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II Char Head,gundam_zaku_ii_char_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II Char Hand,gundam_zaku_ii_char_hand,5,0,,300,,400,100,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,200,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zaku II Psycho Gun,gundam_zaku_ii_psycho_gun,5,0,,900,600,,100,0,40,,,,,ENERGY,,500,0.5,2,1,0,,,,,10000,,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","energy20, beam15, LR, hist1t, gundam_beam_bp",,Anaheim Electronics,,General,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,36,,,
Zaku II Psycho Leg,gundam_zaku_ii_psycho_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II Psycho Head,gundam_zaku_ii_psycho_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku II Psycho Hand,gundam_zaku_ii_psycho_hand,5,0,,300,,400,100,30,10,,3,,,HIGH_EXPLOSIVE,0,,0,8,1,,0,0,0,0,,200,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zaku II Psycho Pack,gundam_zaku_ii_psycho_pack,5,0,,300,,300,200,25,0,,2,,,HIGH_EXPLOSIVE,0,,1,1,1,5,0,0,0,0,,500,40,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Zaku Sniper Gun,gundam_zaku_sniper_gun,5,0,,1100,600,,550,0,7,,,,,ENERGY,300,,0.5,1,1,4,,,,,10000,,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Zaku Sniper Aim Light,gundam_zaku_sniper_aim,5,0,,1100,,,,0,100,,,,,ENERGY,,,0,0.25,,,,,,,3600,,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,Point Defense,,,,,,,,,,19.5,,,
Zaku Sniper Leg,gundam_zaku_sniper_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Zaku Sniper Head,gundam_zaku_sniper_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Gun,gundam_gelgoog_gun,5,0,,500,,70,30,0,40,,6,0.8,6,ENERGY,50,,0,1,,,,,,,,1000,,,,,,"SYSTEM, ANTI_FTR, USE_VS_FRIGATES","pd6,kinetic3,SR, no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Gelgoog Head,gundam_gelgoog_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Pack,gundam_gelgoog_pack,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Shield,gundam_gelgoog_shield,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Char Gun,gundam_gelgoog_char_gun,5,0,,500,,75,40,0,40,,6,0.8,6,ENERGY,50,,0,1,,,,,,,,1000,,,,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","pd6,kinetic3,SR, no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Gelgoog Char Head,gundam_gelgoog_char_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Char Shield,gundam_gelgoog_char_shield,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Jäger Gun,gundam_gelgoog_j_gun,5,0,,900,,30,10,0,40,,,,,ENERGY,15,,0,0.2,,,0,5,0.5,3,,1200,,,10,,,"SYSTEM, ANTI_FTR, USE_VS_FRIGATES","pd6,kinetic3,SR, no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Gelgoog Jäger Head,gundam_gelgoog_j_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Jäger Hand,gundam_gelgoog_j_hand,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Jäger Leg,gundam_gelgoog_j_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gelgoog Jäger Wing,gundam_gelgoog_j_wing,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Dra-C Gun,gundam_dra_c_gun,5,0,,600,,50,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Dra-C Head,gundam_dra_c_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Dra-C Shield,gundam_dra_c_shield,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Kampfer Gun,gundam_kampfer_gun,5,0,,600,,50,,1,40,,32,7,45,KINETIC,8,,0,0.2,,,0,3,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Kampfer Leg,gundam_kampfer_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Kampfer Head,gundam_kampfer_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Kampfer Hand,gundam_kampfer_hand,5,0,,100,,100,50,30,10,,8,,,HIGH_EXPLOSIVE,0,,0,0,8,0.007,0,0,0,0,,150,300,4,350,,,"SYSTEM, CONSERVE_FOR_ANTI_ARMOR, STRIKE, USE_VS_FRIGATES","beam8, LR, no_sell, no_drop, no_drop_salvage",,,,Melee,,,,,,,,,,,,,
Gouf Whip,gundam_gouf_whip,5,0,,150,180,,180,0,7,,,,,HIGH_EXPLOSIVE,,200,0,2,1,4,,,,,200,,,,,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","energy20, beam15, LR, hist1t, no_sell, no_drop, no_drop_salvage",,,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,40,,,
Gouf Shield,gundam_gouf_shield,5,0,,450,,15,,1,40,,30,4.5,30,KINETIC,5,,0,1,10,0.05,0,10,0.66,5,,1200,,,10,,,"SYSTEM, PD, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Gouf Head,gundam_gouf_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
Gouf Sword,gundam_gouf_sword,5,0,,5,,300,200,,100,,1,0.4,,HIGH_EXPLOSIVE,80,,0,0.4,1,,,,,,,2000,,,1000,,,"SYSTEM, USE_VS_FRIGATES, ANTI_FTR","no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,,,,
Gouf Leg,gundam_gouf_leg,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,Fast,None,,,,,,,,,,,
Gyan Head,gundam_gyan_head,5,0,,100,,,,,40,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,Parts,,,,,,,,,,,,,
