name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Jezebel-class Spike Torpedo Launcher,vayra_spike_torpedo_medium,2,,3000,1500,,1200,400,300,15,10,5,,,KINETIC,0,,0,8,,,,,,,,350,100,5.5,1000,STRIKE,"kadur, strike13, rocket8, kadur_missile_bp",,Kadur Theocracy,,Torpedo,Very Fast,None,,,"Sheds up to %s pieces of capacitive chaff as torpedo takes damage, decoying enemy missiles and point defense. Creates arcs from pieces of chaff within %s upon striking a target, dealing %s EMP and energy damage each.",12 | 500 su | 400,Imparts significant force upon striking a target.,,,6 Medium Missile
Positron Blast Gun,vayra_antimatterpulse,3,0.25,4000,500,,400,,0,30,14,,,,ENERGY,400,,0.1,1.4,3,0.2,0,18,3,10,,1000,,,,,"kadur_qamar, energy15, SR",,Qamar Insurgency,,General,,,,,,,,,,5 Medium Energy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CHONKY BOIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultracaliber Heavy Chemrail,vayra_heavy_chemrail,1,,4000,1000,,400,,60,35,20,,,,FRAGMENTATION,120,,0,0.5,,,2,8,1,10,,2000,,,60,,"kadur, kinetic16, he16, energy17, kadur_rail_bp",,Kadur Theocracy,,General,,,,,,,,,,7 Large Ballistic
Shockweb Canister Battery,vayra_shockweb,3,0.75,6000,900,,400,400,300,40,28,,,,KINETIC,480,,0,0.666,,,2,10,2,20,,650,,,150,,"kadur, kinetic19, kadur_rail_bp",,Kadur Theocracy,,Anti Shield (Area),,,,,"Splits into %s high-velocity submunitions, each dealing %s kinetic and EMP damage with a %s chance to arc to a random hostile ship within %s, dealing extra EMP damage equal to the original hit.",8 | 75 | 50% | 300 su,"Direct canister impacts on hull or armor arc to all hostile ships within %s, dealing %s EMP damage to each.",300 su | 400,,7 Large Ballistic
Jahannam Siege Cannon,vayra_jahannam,3,0.5,9500,900,,777,400,500,7,30,7,0.35,7,HIGH_EXPLOSIVE,666,,0,1,,,0,21,7,21,,400,,,400,"STRIKE, USE_VS_FRIGATES","kadur, he20, kadur_capital_bp",,Kadur Theocracy,,Anti Capital Armor,,,,,Cannon shells have %s velocity.,very low,,,,7 Large Ballistic
Joachim Graviton Sweeper,vayra_joachim,3,0.5,6500,1000,1150,,,0,5,30,,,,KINETIC,,1500,2,0.1,3,8,,,,,4000,,,,,"STRIKE, USE_VS_FRIGATES","kadur, beam15, kinetic14, LR, kadur_capital_bp",,Kadur Theocracy,,Anti Capital Suppression,,,,,Hits to shield spike target's hard flux by %s per second and generate shield-piercing EMP arcs dealing %s Energy and %s EMP damage.,10% | 25% | 50%,,,,8 Large Energy
Jericho LRM-9,vayra_jericho_lrg,1,,3500,6000,,200,,25,10,18,45,0.45,9,HIGH_EXPLOSIVE,0,,0,10,9,0.2,,,,,,450,50,13,50,"DO_NOT_AIM, DO_NOT_CONSERVE","kadur, missile18, utility15, kadur_missile_bp",,Kadur Theocracy,,Long Range Support,Fast,Poor,,,,,,,,9 Large Missile
Jacana Spike Battery,vayra_spike_battery,2,,4500,2000,,500,400,240,10,24,24,,,KINETIC,0,,0,4,4,0.333,,,,,,500,50,5,100,"DO_NOT_AIM, CONSERVE_3, STRIKE, USE_VS_FRIGATES","kadur, missile18, strike16, kadur_missile_bp",,Kadur Theocracy,,Anti Shield,Very Fast,Poor,,,"Fires a high-speed %s upon closing with its target. Hits on hull or armor arc to weapons and engines, dealing extra %s damage equal to the original hit.",second stage | EMP,,,TRUE,9 Large Missile
Jaya VLRMS-6,vayra_vlrms_large,2,,5000,10000,,500,,25,5,25,60,0.3,6,HIGH_EXPLOSIVE,0,,0,10,6,0.25,,,,,,140,200,75,150,"DO_NOT_AIM, CONSERVE_1","kadur, utility20, missile12, kadur_missile_bp",,Kadur Theocracy,,Long Range Support,Very Slow,Poor,,,"Fires a high-speed %s upon nearing its target, then splits into %s submunitions each dealing %s high explosive damage on final approach.",second stage | 5 | 100,,,,9 Large Missile
Jinn-class LRT Launcher,vayra_jinn,3,0.5,9500,10000,,6000,,1000,5,32,2,0.01666,1,ENERGY,0,,0,8,,,,,,,,75,300,900,4000,"DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","kadur, missile16, utility16, strike16, kadur_capital_bp",,Kadur Theocracy,,Anti Capital Support,Very Slow,Terrible,,,Torpedo has nearly %s fuel and will continue to track targets until eventually destroyed.,limitless,,,,9 Large Missile
#Charged Crystal Interdictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COPY PROJECTILES - NOTE THESE ARE USUALLY THE ONES USED FOR DAMAGE ETC INGAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canister-fired Spike Flechette,vayra_canister_gun_copy,0,0,0,500,,75,75,50,,,,,,KINETIC,75,,0,1.333,,,1,5,1,10,,600,,,50,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,ZZ Copy Projectile
Capacitive Spike Flechette,vayra_shockweb_copy,0,0,0,900,,75,75,50,,,,,,KINETIC,75,,0,0.666,,,2,10,2,20,,800,,,50,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,ZZ Copy Projectile
Charged Crystal Splinter,vayra_splintergun_copy,0,0,0,725,,60,,5,,,14,2.33,7,ENERGY,125,,0.5,0,7,0.12,,,,,,500,500,2,200,"SYSTEM, GUIDED_POOR","no_drop, no_drop_salvage",,,,,,,,,,,,,,ZZ Copy Projectile
Capacitive Rod,vayra_rod_launcher_copy,0,0,0,900,,600,800,300,,,,,,KINETIC,1000,,0,6.66,,,0,20,20,40,,1200,,,1000,"SYSTEM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","no_drop, no_drop_salvage",,,,,,,,,,,,,,ZZ Copy Projectile
Jaya Very Long Range Missile,vayra_slowlrm,0,0,0,10000,,500,,25,0,,40,0.3,4,HIGH_EXPLOSIVE,0,,0,15,4,0.25,,,,,,140,200,75,150,"DO_NOT_AIM, CONSERVE_1, SYSTEM","no_drop, no_drop_salvage",,,,,,,,,,,,,,ZZ Copy Projectile
Jinn-class Long Range Torpedo,vayra_jinn_copy,0,0,0,10000,,6000,,1000,,,1,0.01666,1,ENERGY,0,,0,8,,,,,,,,75,300,900,3000,"DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES, SYSTEM","no_drop, no_drop_salvage",,,,,,,,,,,,,,ZZ Copy Projectile
Boomerang Shield,vayra_medium_boomerangshield_copy,0,0,0,1000,,400,,400,20,,1,,,KINETIC,0,,0,1,,,,,,,,500,500,3,800,"STRIKE, USE_VS_FRIGATES, SYSTEM, DO_NOT_AIM","no_drop, no_drop_salvage",,,,,,,,,,,,,,ZZ Copy Projectile
Light Boomerang Shield,vayra_light_boomerangshield_copy,0,0,0,600,,200,,200,30,,1,0.1,,KINETIC,0,,0,1,,,,,,,,500,500,2,400,"STRIKE, USE_VS_FRIGATES, SYSTEM, DO_NOT_AIM","no_drop, no_drop_salvage",,,,,,,,,,,,,,ZZ Copy Projectile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DECO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caliph Bridge,vayra_caliphdeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,YY Deco
Caliph Bridge Lights,vayra_caliph_bridgelights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,YY Deco
Caliph Lights,vayra_caliph_lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,YY Deco
Running Light (Blue),vayra_runninglightblue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,YY Deco
Running Light (Yellow),vayra_runninglightyellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,YY Deco
Shield Flux Conduits,vayra_caliph_shieldglow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,YY Deco
Shield Generator Lights,vayra_caliph_shieldgen_lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,YY Deco
Spinny Fan,vayra_caliph_spinnyfan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,YY Deco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FIGHTER OR BUILTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arquebus Fission Bombard,vayra_heavy_fission_fighter,0,,0,1500,,275,400,200,10,,,,,HIGH_EXPLOSIVE,240,,0.2,2.8,,,2,8,3,3,,800,,,65,SYSTEM,"no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Armor,,,,,,,,,,ZZ BuiltinOrFighter
"Bomb Bay, High Explosive, General Purpose",vayra_bomb_bay,0,,0,2000,,300,,80,15,,10,,,HIGH_EXPLOSIVE,0,,0,1,,,0,0,0,0,,170,20,25,150,"STRIKE, BOMB, SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,Strike,,,,,,,,,TRUE,ZZ BuiltinOrFighter
Integral Micro-Flak,vayra_microflak,0,,0,350,,50,,10,80,,,,,FRAGMENTATION,25,,0,0.5,8,0.1,0,32,4,100,,800,,,30,"PD, PD_ONLY, ANTI_FTR, SYSTEM","no_drop, no_drop_salvage",,Kadur Theocracy,,Point Defense (Area),,,,,,,,,,ZZ BuiltinOrFighter
Jamadhar Torpedo,vayra_jamadhar_fighter,0,,0,1200,,900,,15,30,,1,,,HIGH_EXPLOSIVE,0,,0,1,,,,,,,,250,150,20,100,"DO_NOT_AIM, SYSTEM","no_drop, no_drop_salvage",,Kadur Theocracy,,Finisher,Slow,Good,,,,,,,,ZZ BuiltinOrFighter
Jannah Superheavy Driver,vayra_superheavy_driver,0,,0,2000,,5000,1000,3000,1,,1,0.05,1,KINETIC,5000,,3,3,,,0,5,5,2.5,,4200,,,500,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Holy Fleet,,Long Range Support,,,,,,,,,,ZZ BuiltinOrFighter
Jazayer-class Heavy Fusion Torpedo,vayra_heavy_torpedo_fighter,0,,0,1200,,3000,1200,100,10,,1,,,HIGH_EXPLOSIVE,0,,0,5,,,,,,,,300,100,6,666,"STRIKE, SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,Torpedo,Slow,None,,,,,,,,ZZ BuiltinOrFighter
Jazerant CP Rocket Pod,vayra_rocketpod_fighter,0,,0,1500,,150,200,10,30,,6,,,ENERGY,0,,0,0.05,,,0,30,15,10,,550,50,3,50,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,General,Fast,None,,,,,,,,ZZ BuiltinOrFighter
Integral Jaya VLRMS-4,vayra_slowlrm_copy,0,,0,10000,,500,,25,0,,40,0.3,4,HIGH_EXPLOSIVE,0,,0,15,4,0.25,,,,,,140,200,75,150,"DO_NOT_AIM, CONSERVE_1, SYSTEM","no_drop, no_drop_salvage",,Kadur Theocracy,,Long Range Support,Very Slow,Very Poor,,,"Fires high-speed second stage upon nearing its target, then splits into %s submunitions each dealing %s high explosive damage on final approach.",5 | 100,,,,ZZ BuiltinOrFighter
Integral Portside VLRMS-6,vayra_slowlrm_left,0,,0,10000,,500,,25,0,,60,0.4,6,HIGH_EXPLOSIVE,0,,0,15,6,0.25,,,,,,140,200,75,150,"DO_NOT_AIM, CONSERVE_1, SYSTEM","no_drop, no_drop_salvage",,Kadur Theocracy,,Long Range Support,Very Slow,Very Poor,,,"Fires high-speed second stage upon nearing its target, then splits into %s submunitions each dealing %s high explosive damage on final approach.",5 | 100,,,,ZZ BuiltinOrFighter
Integral Starboard VLRMS-6,vayra_slowlrm_right,0,,0,10000,,500,,25,0,,60,0.4,6,HIGH_EXPLOSIVE,0,,0,15,6,0.25,,,,,,140,200,75,150,"DO_NOT_AIM, CONSERVE_1, SYSTEM","no_drop, no_drop_salvage",,Kadur Theocracy,,Long Range Support,Very Slow,Very Poor,,,"Fires high-speed second stage upon nearing its target, then splits into %s submunitions each dealing %s high explosive damage on final approach.",5 | 100,,,,ZZ BuiltinOrFighter
Jacana-S Light Spike Missile,vayra_spike_fighter,0,,0,900,,400,400,240,20,,1,,,KINETIC,0,,0,1,,,,,,,,500,50,5,100,"STRIKE, USE_VS_FRIGATES, SYSTEM","no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Shield,Very Fast,Poor,,,"Fires a high-speed %s upon closing with its target. Hits on hull or armor arc to weapons and engines, dealing extra %s damage equal to the original hit.",second stage | EMP,,,TRUE,ZZ BuiltinOrFighter
Jerboa Microspike Rail,vayra_lightspike_fighter,0,,0,800,,100,200,90,30,,1,0.1,,KINETIC,0,,0,1,,,,,,,,600,800,2,200,"STRIKE, USE_VS_FRIGATES, SYSTEM","no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Shield,Very Fast,None,,,"Hits on hull or armor arc to weapons and engines, dealing extra %s damage equal to the original hit.",EMP,,,,ZZ BuiltinOrFighter
Shield Thrower,vayra_medium_boomerangshield,0,,0,1000,,400,,400,20,,1,,,KINETIC,0,,0,1,,,,,,,,500,500,3,800,"STRIKE, USE_VS_FRIGATES, SYSTEM, DO_NOT_AIM","no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Shield,Very Fast,Good,,,,,,,,ZZ BuiltinOrFighter
Light Shield Thrower,vayra_light_boomerangshield,0,,0,600,,200,,200,30,,1,0.1,,KINETIC,0,,0,1,,,,,,,,500,500,2,400,"STRIKE, USE_VS_FRIGATES, SYSTEM, DO_NOT_AIM","no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Shield,Very Fast,Good,,,,,,,,ZZ BuiltinOrFighter
Jordan-class Light CPKV,vayra_jordan_lcpkv,0,,0,2000,,100,400,50,15,,1,,,ENERGY,0,,0,1,,,,,,,,300,50,7,250,"STRIKE, BOMB, SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,Point Defense (Area),,,,,"Kill vehicle will create %s EMP arc to each hostile target passing within %s, dealing %s energy and %s EMP damage.",1 | 200 su | 100 | 400,,,TRUE,ZZ BuiltinOrFighter
Joshua AAM Pod,vayra_vsrm_fighter,0,,0,500,,60,,5,120,,2,0.2,2,FRAGMENTATION,0,,0,2,,,0,8,4,16,,550,200,4,30,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SYSTEM, GROUP_LINKED, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Small Craft,Very Fast,Excellent,,,Hits to strike craft hull or armor deal additional %s damage equal to the original hit.,high explosive,,,,ZZ BuiltinOrFighter
Janissary SSRM-2,vayra_srm_4_fighter,0,,0,1000,,60,,15,40,,2,0.2,2,HIGH_EXPLOSIVE,0,,0,0.5,2,0.2,,,,,,500,50,7,40,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SYSTEM, GROUP_LINKED","no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Small Craft,Very Fast,Excellent,,,,,,,,ZZ BuiltinOrFighter
Jaguar Interceptor Missile,vayra_jaguar_fighter,0,,0,1000,,200,,25,0,,2,0.1,1,FRAGMENTATION,0,,0,0.1,,,,,,,,600,300,5,200,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, SYSTEM, GROUP_LINKED, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Small Craft,Very Fast,Excellent,,,Hits to strike craft hull or armor deal additional %s damage equal to the original hit.,high explosive,,,,ZZ BuiltinOrFighter
Light Fission Rifle,vayra_light_fission_fighter,0,,0,500,,50,40,20,60,,,,,HIGH_EXPLOSIVE,50,,0,0.4,,,0,0,,,,1200,,,15,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,Suppression,,,,,,,,,,ZZ BuiltinOrFighter
Light Volley Driver,vayra_dervish_gun,0,,0,300,,10,,2,50,,,,,KINETIC,2,,0,0.1,,,0,10,1,20,,1600,,,10,"PD, SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,Point Defense,,,,,,,,,,ZZ BuiltinOrFighter
Martyr Cannon,vayra_martyr_cannon,0,,0,250,,25,,3,90,,,,,HIGH_EXPLOSIVE,5,,0,0.5,,,0,20,5,10,,600,,,5,"SYSTEM, SHOW_IN_CODEX","no_drop, no_drop_salvage",,Kadur Theocracy,,Anti Armor,,,,,,,,,,ZZ BuiltinOrFighter
Capacitive Chaff Launcher,vayra_kadur_chaff_launcher,0,,0,400,,10,400,,,,,0,,ENERGY,0,0,0,0.1,3,0.1,60,60,0,0,,50,150,4.5,400,SYSTEM,"no_drop, no_drop_salvage",,Kadur Theocracy,,,,,,,,,,,,ZZ System
Hammer Fusillade,vayra_hammer_barrage_forever,0,,0,1200,,1500,,30,0,,4,0.25,2,HIGH_EXPLOSIVE,0,,0,0.15,4,0.15,0,0,0,0,,500,40,4,350,SYSTEM,"no_drop, no_drop_salvage",,,,Torpedo,Fast,None,,,,,,,,ZZ BuiltinOrFighter
